iter	Logloss	Accuracy
393	0.3271393583	0.87875
394	0.3268455807	0.87875
395	0.3267330558	0.87875
396	0.3266800905	0.87875
397	0.3266511009	0.87875
398	0.3260917538	0.87875
399	0.3259132568	0.87875
400	0.325829794	0.87875
401	0.3256785848	0.87875
402	0.325330349	0.87875
403	0.3250680652	0.88
404	0.3248001475	0.87875
405	0.3245952443	0.88
406	0.3239946519	0.8825
407	0.323939207	0.8825
408	0.3238900723	0.88125
409	0.323221439	0.8825
410	0.3231225122	0.8825
411	0.3228021139	0.8825
412	0.3222420428	0.88375
413	0.3218819377	0.8825
414	0.3216766479	0.8825
415	0.3212738023	0.8825
416	0.321095895	0.8825
417	0.3208022363	0.8825
418	0.3205810733	0.8825
419	0.3204338534	0.88375
420	0.320046816	0.88375
421	0.3198762671	0.88375
422	0.3197456651	0.88375
423	0.319556084	0.88375
424	0.3191778019	0.88375
425	0.3189813247	0.88375
426	0.3188559884	0.88375
427	0.318129126	0.8825
428	0.3179622676	0.8825
429	0.3173948779	0.8825
430	0.3172409486	0.8825
431	0.3166761454	0.885
432	0.3163659004	0.885
433	0.3162910265	0.885
434	0.3161668179	0.885
435	0.3158575859	0.88375
436	0.315804551	0.88375
437	0.3155174236	0.88625
438	0.3152890179	0.885
439	0.3151175333	0.885
440	0.3149508878	0.885
441	0.3147613629	0.885
442	0.3144480373	0.885
443	0.3143624549	0.885
444	0.3142636473	0.885
445	0.3137509375	0.88625
446	0.3135798112	0.88625
447	0.3134613942	0.88625
448	0.3132542793	0.88625
449	0.3131622109	0.88625
450	0.3129493891	0.886451451	0.3126327365	0.886452452	0.3125865785	0.886453453	0.3123017465	0.88454	454	0.3121689289	0.455	0.455	0.3120428172	456	0.31456	0.311926738457	0.3143457	0.3116539458	0.314275458	0.31127459	0.31424130459	0.31061460	0.314193460	0.3103240461	0.314007461	0.31020462	0.31356260462	0.310463	0.313459461463	0.3098464	0.313244263464	0.30465	0.3130876439	465	0.466	0.3129741317	0.466	467	0.3127858106	0.89467	468	0.312350243	0.89746469	0.3121806558	0.89744470	0.3120661408	0.89747471	0.3117206701	0.89747472	0.3117131869	0.89747473	0.3115654932	0.89473474	0.3115000076	0.89747475	0.3110518207	0.896247476	0.3109515805	0.896247477	0.3109129093	0.896474478	0.3105583609	0.89474479	0.3103007807	0.894479480	0.3102742713	0.848480481	0.3100948819	0.48481	482	0.3096721887	482482	0483	0.3095483274483483	0.484	0.30905879148484	0.30485	0.308885924485	0.3051486	0.30885486	0.3050028487	0.308782487	0.3048320488	0.30488	488	0.3047159489	0489	0.2489	0.304490	0.490	0.271490	0.491	0.3491	0.27144649492	0.30492	0.271209493	0.3071493	0.27119494	0.30701494	0.2708495	0.306876495	0.270496	0.306757496	0.2701957497	0.306497	0.2699979653498	0.498	0.2698188048	0499	499	0.2696204946	0.950500	0.2695174916	0.91
501	0.2692612193	0.91
502	0.2691102724	0.91
503	0.268990253	0.91
504	0.2687579882	0.91
505	0.2687219532	0.91
506	0.268606555	0.91
507	0.2685871683	0.91
508	0.2685259675	0.91
509	0.2681823344	0.90875
510	0.267972462	0.91
511	0.2677594994	0.91
512	0.2676337759	0.91
513	0.2674651453	0.91
514	0.2673406144	0.91
515	0.2673221591	0.91
516	0.2672126741	0.91
517	0.2670432327	0.91
518	0.2668862395	0.91
519	0.2666321474	0.91
520	0.2664116609	0.91
521	0.2663569256	0.91
522	0.266221564	0.91
523	0.2660085202	0.91
524	0.2656239067	0.91
525	0.2654381195	0.91
526	0.2653621328	0.91
527	0.2651834938	0.91
528	0.2649735656	0.91
529	0.2646493289	0.91
530	0.2643772164	0.91
531	0.2639358134	0.91
532	0.2636468757	0.91
533	0.2633467403	0.91
534	0.2631495754	0.91
535	0.2629021089	0.91
536	0.2627334212	0.91
537	0.2624917967	0.91
538	0.2618655157	0.91
539	0.2616535273	0.91
540	0.2614797182	0.91
541	0.2613025891	0.91
542	0.2612175414	0.91
543	0.2610603593	0.91
544	0.2608198504	0.91
545	0.2605901369	0.91125
546	0.260559941	0.91125
547	0.2603397828	0.91125
548	0.260136029	0.91125
549	0.2599012734	0.91125
550	0.2595946754	0.91125
551	0.2594969395	0.9125
552	0.2591006952	0.9125
553	0.2587507252	0.9125
554	0.2585923411	0.9125
555	0.2582565688	0.9125
556	0.2581094948	0.9125
557	0.2579157389	0.9125
558	0.2576536085	0.9125
559	0.2574770422	0.9125
560	0.2571571981	0.9125
561	0.2569814927	0.91375
562	0.2569236103	0.91375
563	0.25685722	0.91375
564	0.2565698744	0.91375
565	0.2563773642	0.91375
566	0.2563410341	0.91375
567	0.2562524435	0.91375
568	0.2560584709	0.91375
569	0.2559645005	0.91375
570	0.2557713474	0.91375
571	0.2554353825	0.91375
572	0.2551054962	0.91625
573	0.2550213289	0.91625
574	0.2547370259	0.91625
575	0.2543676436	0.91625
576	0.2542195162	0.91625
577	0.2540789158	0.91625
578	0.2540146443	0.91625
579	0.2535458567	0.91625
580	0.2534543598	0.91625
581	0.2532986158	0.91625
582	0.2531398866	0.9175
583	0.2529753785	0.9175
584	0.2527139513	0.92
585	0.2524466141	0.92
586	0.2524072536	0.92
587	0.252186599	0.92
588	0.2519399714	0.92
589	0.2515426183	0.92125
590	0.2514485006	0.92125
591	0.2514147829	0.92125
592	0.2511155136	0.92125
593	0.2508425768	0.92125
594	0.2506492574	0.92
595	0.2506101666	0.92
596	0.2503894911	0.92
597	0.2501717217	0.92
598	0.2500197365	0.92
599	0.2499247464	0.92
600	0.2498883037	0.92
601	0.2494324707	0.9225
602	0.2493194163	0.9225
603	0.2492459856	0.9225
604	0.2489903773	0.9225
605	0.2487318748	0.9225
606	0.2485725907	0.9225
607	0.248364429	0.9225
608	0.2483158601	0.9225
609	0.2482768831	0.9225
610	0.2481791358	0.9225
611	0.2478830073	0.9225
612	0.2476996942	0.9225
613	0.2475377215	0.9225
614	0.247482763	0.9225
615	0.2473986184	0.92125
616	0.2472257711	0.92125
617	0.2470862973	0.92125
618	0.2469481407	0.92125
619	0.2468270932	0.92125
620	0.2467308782	0.92125
621	0.2464912905	0.92125
622	0.2460127501	0.9225
623	0.2459670681	0.9225
624	0.2458162406	0.9225
625	0.2456191146	0.9225
626	0.245271682	0.9225
627	0.2451895551	0.9225
628	0.2450860274	0.9225
629	0.2450635518	0.9225
630	0.2449701266	0.9225
631	0.2448751859	0.9225
632	0.2446891004	0.9225
633	0.2445093742	0.9225
634	0.2442740743	0.9225
635	0.244189905	0.9225
636	0.2440642089	0.9225
637	0.2438895162	0.9225
638	0.2438508012	0.9225
639	0.2437646933	0.9225
640	0.2437312561	0.9225
641	0.2434777756	0.9225
642	0.2432349736	0.9225
643	0.243084037	0.92375
644	0.2430231004	0.92125
645	0.2428960345	0.9225
646	0.242841004	0.9225
647	0.2426167459	0.92375
648	0.2424444091	0.92375
649	0.2422707765	0.92375
650	0.2421792834	0.92375
651	0.2421019796	0.92375
652	0.241952171	0.92375
653	0.2416663812	0.92375
654	0.2415086939	0.92375
655	0.2413904236	0.92375
656	0.2412277434	0.92375
657	0.2410037886	0.92375
658	0.240827142	0.92375
659	0.2405667601	0.92375
660	0.2403047564	0.925
661	0.2400700839	0.925
662	0.2399463478	0.925
663	0.239736149	0.925
664	0.2396944677	0.925
665	0.2395304224	0.925
666	0.2392890803	0.925
667	0.2391910342	0.925
668	0.2391179348	0.925
669	0.2390515931	0.925
670	0.2388171623	0.925
671	0.2387982115	0.925
672	0.2386844577	0.925
673	0.2384939561	0.925
674	0.2383478161	0.92375
675	0.2381759023	0.92375
676	0.2380283905	0.92375
677	0.2379364048	0.92375
678	0.2376436829	0.92375
679	0.23747465	0.92375
680	0.2373666179	0.92375
681	0.2373279334	0.92375
682	0.2371573292	0.92375
683	0.2369749822	0.92375
684	0.2369337844	0.92375
685	0.236825664	0.92375
686	0.236548092	0.92375
687	0.2362716224	0.92375
688	0.2361149394	0.92375
689	0.2359532983	0.92375
690	0.2359387639	0.92375
691	0.2357957856	0.92375
692	0.2355970184	0.92375
693	0.2353441222	0.92375
694	0.2351000702	0.92375
695	0.2350481035	0.92375
696	0.2349690657	0.92375
697	0.2348156878	0.92375
698	0.2345860859	0.925
699	0.2344684412	0.925
700	0.2344498059	0.925
701	0.2344328335	0.925
702	0.2343170032	0.92625
703	0.2341600237	0.92625
704	0.234035172	0.925
705	0.233955798	0.92625
706	0.2338943736	0.92625
707	0.2336105139	0.92625
708	0.2335203997	0.92625
709	0.2333990709	0.92625
710	0.2333392499	0.92625
711	0.2333255438	0.92625
712	0.2332017168	0.92625
713	0.2331858354	0.92625
714	0.233037576	0.92625
715	0.2328244034	0.92625
716	0.232716754	0.92625
717	0.2325869799	0.92625
718	0.2325282964	0.92625
719	0.2323178761	0.9275
720	0.2320782358	0.9275
721	0.2319565999	0.92625
722	0.2318623885	0.9275
723	0.2318185311	0.9275
724	0.2318022001	0.9275
725	0.2316796236	0.92875
726	0.2315692973	0.92875
727	0.2314012892	0.93
728	0.2312656211	0.93125
729	0.2311089114	0.93125
730	0.2310118706	0.93125
731	0.2308547702	0.93
732	0.2307125924	0.93
733	0.2306144611	0.93
734	0.2305136284	0.93
735	0.2301859799	0.93
736	0.2301082017	0.93
737	0.2298385784	0.92875
738	0.2297274311	0.92875
739	0.2295754439	0.92875
740	0.2295098422	0.92875
741	0.2294030714	0.92875
742	0.2291931966	0.93
743	0.2289977544	0.93125
744	0.2287834773	0.93125
745	0.2286214382	0.93125
746	0.2284333456	0.93125
747	0.2283388643	0.93125
748	0.2281781383	0.93125
749	0.2280358908	0.93125
750	0.2278895402	0.93125
751	0.2274857012	0.93125
752	0.2273470104	0.93125
753	0.2272089006	0.93125
754	0.2270392534	0.93125
755	0.2269180159	0.93125
756	0.2268084915	0.93125
757	0.2266142027	0.931257758	0.2265924816	0.931758759	0.2265102382	0.9759	0760	0.226370019	0.760	0.761	0.2262400635	761	0.25762	0.2261492374	762	0.25763	0.2260341223	763	0.25764	0.2258323575	764	0.25765	0.2256999162	765	0.25766	0.2256704679	766	0.25767	0.2255915876767	0.256768	0.225454275768	0.256769	0.225225437769	0.25770	0.2250747932	770	0.2771	0.2248812972	0771	0.772	0.2248019582	0.772	0773	0.2247138772	0.9773	774	0.22448528	0.93257775	0.2243457169	0.9325
776	0.2241561462	0.9325
777	0.2241041345	0.9325
778	0.2240465954	0.9325
779	0.2237476011	0.9325
780	0.2236848466	0.9325
781	0.2234889962	0.9325
782	0.223291302	0.9325
783	0.223284768	0.9325
784	0.22311549	0.9325
785	0.2230134483	0.9325
786	0.2229267123	0.9325
787	0.2228220202	0.9325
788	0.2227652198	0.9325
789	0.2224841754	0.9325
790	0.2221646408	0.9325
791	0.222117933	0.9325
792	0.2220321018	0.9325
793	0.2217549327	0.9325
794	0.2217024735	0.9325
795	0.221539697	0.9325
796	0.2212555478	0.93279797	0.2211911686	0.797	0798	0.2211134127	798	0.2799	0.2210656731	799	0.2800	0.2209331664	0800	0.801	0.2208159071801	0.25802	0.2206876746802	0.25803	0.2204945999803	0.25804	0.2204532752804	0.25805	0.2202111157805	0.25806	0.2200185663806	0.25807	0.2199706427807	0.25808	0.219751794808	0.250809	0.219636086809	0.250810	0.219528701810	0.250811	0.219348910811	0.250812	0.219199107812	0.24813	0.2190443332813	0.24814	0.2189478539814	0.24815	0.2188172597815	0.24816	0.2187845212816	0.24817	0.2186636359817	0.24818	0.2185766937818	0.24819	0.2183680614819	0.249820	0.218276589820	0.249821	0.218107394821	0.249822	0.21799582822	0.2490823	0.21770048823	0.2488824	0.21757325824	0.248825	0.217543315825	0.248826	0.217498026826	0.248827	0.2174795963827	0.24828	0.2173378296	828	0.2829	0.2173172641	0829	0.830	0.2172251436	0.830	0831	0.217181422	0.93831832	0.216841264	0.93258833	0.2167462703	0.9325
834	0.2166653529	0.9325
835	0.2165484896	0.9325
836	0.2163527154	0.9325
837	0.21613601	0.9325
838	0.2160928039	0.9325
839	0.2159356763	0.93258840	0.2158257998	0.93841841	0.2157667887	0.842	0842	0.2155273621	0.9843	843	0.2154895436	0.9844	844	0.2152971896	0.93845845	0.214876932	0.93284846	0.2146990445	0.93284847	0.2146114254	0.93258848	0.2145039186	0.9325
849	0.2142411908	0.933758850	0.2142211195	0.933851851	0.2139158138	0.93852	852	0.213844477	0.93853853	0.2135845687	0.93854	854	0.2135574768	0855	0.2855	0.2134778636	856	0.22856	0.2134097065857	0.227857	0.2130787883858	0.227858	0.212834818859	0.2268859	0.2126820860	0.226358860	0.2124847861	0.226254861	0.212424862	0.22609862	0.2122863	0.22603968863	0.2120864	0.225822087864	0.21865	0.2255053864	865	0.2866	0.2252918662	866	0.21867	0.2251696303	867	0.21868	0.225106030868	0.2115869	0.2250550869	0.21155870	0.224944870	0.2113829871	0.224864871	0.2113411872	0.224717872	0.2112710873	0.224490873	0.2109703874	0.224392874	0.21091875	0.2242104875	0.2107876	0.224144475876	0.21877	0.2240931541	877	0.21878	0.2240804826878	0.2879	0.2239542709	0879	0880	0.2238915253	0.9880881	0.2237363174	0.93881	882	0.2235745833	0.93882	883	0.2234421454	0.93883	884	0.2233555595	0.93884885	0.2233158153	0.93885886	0.2231545717	0.93788887	0.2231042875	0.93887888	0.2229283612	0.93788889	0.2226579317	0.93758890	0.2226009456	0.9375
891	0.2223934817	0.9375
892	0.2223505422	0.9375
893	0.2222243052	0.9375
894	0.2221698507	0.9375
895	0.2221000705	0.9375
896	0.2220551942	0.9375
897	0.2220518732	0.9375
898	0.222006789	0.9375
899	0.2219102621	0.93625
900	0.2216050117	0.9375
901	0.221390916	0.9375
902	0.2213146976	0.9375
903	0.2212908213	0.9375
904	0.2210879404	0.9375
905	0.2209112259	0.93625
906	0.2208375954	0.93625
907	0.2207697061	0.93625
908	0.2207083193	0.93625
909	0.2206904388	0.93625
910	0.2203950823	0.93625
911	0.2203402495	0.93625
912	0.2202367186	0.93625
913	0.2202127567	0.93625
914	0.220054324	0.93625
915	0.2198928521	0.93625
916	0.2198183866	0.93625
