iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
561	235	275	235	340	235	275	340
562	235	275	235	340	235	275	340
563	235	275	235	340	235	275	340
564	235	275	235	340	235	275	340
565	235	275	235	340	235	275	340
566	235	275	235	340	235	275	340
567	235	275	235	340	235	275	340
568	235	275	235	340	235	275	340
569	235	275	235	340	235	275	340
570	235	275	235	340	235	275	340
571	235	275	235	340	235	275	340
572	235	275	235	340	235	275	340
573	235	275	235	340	235	275	340
574	235	275	235	340	235	275	340
575	235	275	235	340	235	275	340
576	235	275	235	340	235	275	340
577	235	275	235	340	235	275	340
578	235	275	235	340	235	275	340
579	235	275	235	340	235	275	340
580	235	275	235	340	235	275	340
581	235	275	235	340	235	275	340
582	235	275	235	340	235	275	340
583	235	275	235	340	235	275	340
584	235	275	235	340	235	275	340
585	235	275	235	340	235	275	340
586	235	275	235	340	235	275	340
587	235	275	235	340	235	275	340
588	235	275	235	340	235	275	340
589	235	275	235	340	235	275	340
590	235	275	235	340	235	275	340
591	235	275	235	340	235	275	340
592	235	275	235	340	235	275	340
593	235	275	235	340	235	275	340
594	235	275	235	340	235	275	340
595	235	275	235	340	235	275	340
596	235	276	235	340	235	276	340
597	235	276	235	340	235	276	340
598	235	276	235	340	235	276	340
599	235	276	235	340	235	276	340
600	235	276	235	340	235	276	340
601	235	276	235	340	235	276	340
602	235	276	235	340	235	276	340
603	235	276	235	340	235	276	340
604	235	276	235	340	235	276	340
605	235	276	235	340	235	276	340
606	235	276	235	340	235	276	340
607	235	275	235	340	235	275	340
608	237	277	237	340	237	277	340
609	237	276	237	340	237	276	340
610	237	276	237	340	237	276	340
611	237	276	237	340	237	276	340
612	237	276	237	340	237	276	340
613	236	275	236	340	236	275	340
614	236	275	236	340	236	275	340
615	236	275	236	340	236	275	340
616	236	275	236	340	236	275	340
617	236	275	236	340	236	275	340
618	236	275	236	340	236	275	340
619	236	275	236	340	236	275	340
620	236	275	236	340	236	275	340
621	236	275	236	340	236	275	340
622	238	277	238	340	238	277	340
623	238	277	238	340	238	277	340
624	237	276	237	340	237	276	340
625	237	276	237	340	237	276	340
626	237	276	237	340	237	276	340
627	237	276	237	340	237	276	340
628	237	276	237	340	237	276	340
629	237	276	237	340	237	276	340
630	237	276	237	340	237	276	340
631	237	276	237	340	237	276	340
632	237	276	237	340	237	276	340
633	237	276	237	340	237	276	340
634	237	276	237	340	237	276	340
635	237	276	237	340	237	276	340
636	238	277	238	340	238	277	340
637	238	277	238	340	238	277	340
638	238	277	238	340	238	277	340
639	238	277	238	340	238	277	340
640	238	277	238	340	238	277	340
641	238	277	238	340	238	277	340
642	238	275	238	340	238	275	340
643	238	273	238	340	238	273	340
644	238	273	238	340	238	273	340
645	238	273	238	340	238	273	340
646	238	273	238	340	238	273	340
647	237	272	237	340	237	272	340
648	237	272	237	340	237	272	340
649	237	272	237	340	237	272	340
650	237	272	237	340	237	272	340
651	237	272	237	340	237	272	340
652	237	272	237	340	237	272	340
653	237	272	237	340	237	272	340
654	237	273	237	340	237	273	340
655	237	273	237	340	237	273	340
656	237	273	237	340	237	273	340
657	237	273	237	340	237	273	340
658	237	273	237	340	237	273	340
659	237	273	237	340	237	273	340
660	237	273	237	340	237	273	340
661	237	273	237	340	237	273	340
662	237	273	237	340	237	273	340
663	237	273	237	340	237	273	340
664	237	273	237	340	237	273	340
665	237	273	237	340	237	273	340
666	237	273	237	340	237	273	340
667	237	273	237	340	237	273	340
668	237	273	237	340	237	273	340
669	237	273	237	340	237	273	340
670	237	273	237	340	237	273	340
671	237	273	237	340	237	273	340
672	237	273	237	340	237	273	340
673	238	274	238	340	238	274	340
674	238	274	238	340	238	274	340
675	238	274	238	340	238	274	340
676	238	274	238	340	238	274	340
677	238	274	238	340	238	274	340
678	238	274	238	340	238	274	340
679	237	273	237	340	237	273	340
680	238	274	238	340	238	274	340
681	238	274	238	340	238	274	340
682	238	274	238	340	238	274	340
683	238	274	238	340	238	274	340
684	238	274	238	340	238	274	340
685	237	272	237	340	237	272	340
686	237	272	237	340	237	272	340
687	237	272	237	340	237	272	340
688	237	272	237	340	237	272	340
689	237	272	237	340	237	272	340
690	237	272	237	340	237	272	340
691	237	272	237	340	237	272	340
692	237	272	237	340	237	272	340
693	237	272	237	340	237	272	340
694	237	272	237	340	237	272	340
695	237	272	237	340	237	272	340
696	237	272	237	340	237	272	340
697	237	271	237	340	237	271	340
698	237	272	237	340	237	272	340
699	237	270	237	340	237	270	340
700	237	270	237	340	237	270	340
701	237	270	237	340	237	270	340
702	237	270	237	340	237	270	340
703	237	270	237	340	237	270	340
704	237	270	237	340	237	270	340
705	237	270	237	340	237	270	340
706	237	270	237	340	237	270	340
707	237	270	237	340	237	270	340
708	237	270	237	340	237	270	340
709	237	270	237	340	237	270	340
710	237	270	237	340	237	270	340
711	237	270	237	340	237	270	340
712	237	270	237	340	237	270	340
713	237	270	237	340	237	270	340
714	237	270	237	340	237	270	340
715	236	269	236	340	236	269	340
716	235	268	235	340	235	268	340
717	235	268	235	340	235	268	340
718	236	269	236	340	236	269	340
719	236	269	236	340	236	269	340
720	236	269	236	340	236	269	340
721	236	269	236	340	236	269	340
722	236	269	236	340	236	269	340
723	236	269	236	340	236	269	340
724	236	269	236	340	236	269	340
725	236	269	236	340	236	269	340
726	236	269	236	340	236	269	340
727	236	269	236	340	236	269	340
728	236	269	236	340	236	269	340
729	236	269	236	340	236	269	340
730	236	269	236	340	236	269	340
731	236	269	236	340	236	269	340
732	236	269	236	340	236	269	340
733	236	269	236	340	236	269	340
734	236	269	236	340	236	269	340
735	236	269	236	340	236	269	340
736	236	269	236	340	236	269	340
737	236	269	236	340	236	269	340
738	236	269	236	340	236	269	340
739	236	269	236	340	236	269	340
740	236	269	236	340	236	269	340
741	236	269	236	340	236	269	340
742	236	269	236	340	236	269	340
743	236	269	236	340	236	269	340
744	236	269	236	340	236	269	340
745	236	269	236	340	236	269	340
746	236	269	236	340	236	269	340
747	236	269	236	340	236	269	340
748	236	269	236	340	236	269	340
749	236	269	236	340	236	269	340
750	236	269	236	340	236	269	340
751	236	269	236	340	236	269	340
752	236	269	236	340	236	269	340
753	236	269	236	340	236	269	340
754	236	269	236	340	236	269	340
755	236	269	236	340	236	269	340
756	236	269	236	340	236	269	340
757	236	269	236	340	236	269	340
758	236	269	236	340	236	269	340
759	236	269	236	340	236	269	340
760	235	268	235	340	235	268	340
761	235	268	235	340	235	268	340
762	235	268	235	340	235	268	340
763	235	268	235	340	235	268	340
764	235	268	235	340	235	268	340
765	235	268	235	340	235	268	340
766	235	268	235	340	235	268	340
767	235	268	235	340	235	268	340
768	235	268	235	340	235	268	340
769	235	268	235	340	235	268	340
770	235	268	235	340	235	268	340
771	235	268	235	340	235	268	340
772	235	268	235	340	235	268	340
773	235	268	235	340	235	268	340
774	235	268	235	340	235	268	340
775	235	268	235	340	235	268	340
776	235	268	235	340	235	268	340
777	235	268	235	340	235	268	340
778	235	268	235	340	235	268	340
779	235	268	235	340	235	268	340
780	235	268	235	340	235	268	340
781	235	268	235	340	235	268	340
782	235	268	235	340	235	268	340
783	235	268	235	340	235	268	340
784	235	268	235	340	235	268	340
785	235	268	235	340	235	268	340
786	235	268	235	340	235	268	340
787	235	268	235	340	235	268	340
788	235	268	235	340	235	268	340
789	235	268	235	340	235	268	340
790	235	268	235	340	235	268	340
791	235	268	235	340	235	268	340
792	235	268	235	340	235	268	340
793	235	268	235	340	235	268	340
794	235	268	235	340	235	268	340
795	235	268	235	340	235	268	340
796	235	268	235	340	235	268	340
797	235	268	235	340	235	268	340
798	235	268	235	340	235	268	340
799	235	268	235	340	235	268	340
800	235	268	235	340	235	268	340
801	235	268	235	340	235	268	340
802	235	268	235	340	235	268	340
803	235	268	235	340	235	268	340
804	236	269	236	340	236	269	340
805	236	269	236	340	236	269	340
806	236	269	236	340	236	269	340
807	236	269	236	340	236	269	340
808	236	268	236	340	236	268	340
809	236	268	236	340	236	268	340
810	236	268	236	340	236	268	340
811	235	267	235	340	235	267	340
812	236	268	236	340	236	268	340
813	236	268	236	340	236	268	340
814	236	268	236	340	236	268	340
815	235	267	235	340	235	267	340
816	235	267	235	340	235	267	340
817	235	267	235	340	235	267	340
818	235	267	235	340	235	267	340
819	235	267	235	340	235	267	340
820	235	265	235	340	235	265	340
821	235	265	235	340	235	265	340
822	235	265	235	340	235	265	340
823	235	265	235	340	235	265	340
824	235	265	235	340	235	265	340
825	235	265	235	340	235	265	340
826	236	267	236	340	236	267	340
827	236	267	236	340	236	267	340
828	236	267	236	340	236	267	340
829	236	267	236	340	236	267	340
830	236	267	236	340	236	267	340
831	239	270	239	340	239	270	340
832	239	270	239	340	239	270	340
833	240	271	240	340	240	271	340
